,text,gpt-3.5-turbo,gpt-4,gpt-5
346,@JavonAPrice Oh… and karma has a way of revealing hypocrisy. Hope this helped you to be “unstuck” on this. It wasn’t difficult,"No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because it’s a snarky comment about “karma” and hypocrisy without describing any concrete danger, threat, injury, or other material harm or cost to anyone."
347,"@paulacweston In the discord channel, they said ""All live presentations and discussions (the 40 and 50 min ones) are recorded, as are plenaries. The recordings are typically posted by the next day. Social sessions typically are not.""","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because it’s simply providing information about recorded presentations and posting schedules, with no mention of danger, injury, or other harmful consequences."
348,What I think. It’s the military allowing the border crashes. Because they probably may have recently been liberated by armed forces. See. That’s America. That ain’t hay. https--//t.co/I1Y91BGf6x,"Yes, because the text implies a potential threat or harm related to military activity on the border.","Yes, because the text describes a potential harm or cost due to border crashes, which could involve damage or injury.","Yes, because it mentions “border crashes” and involvement of the military/armed forces, implying violent incidents or accidents that could cause harm to people."
349,"The early birds get the worm, so hurry up and make all the arrangements in advance to avoid cancellations. Check out the best available #accommodations from our #rental lists. Book online to have a relaxing #vacation https--//t.co/rX910Lremy. #vacationtime #caribbeanisland https--//t.co/01KEQb7eTY","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because it’s a promotional message about booking vacation accommodations and does not describe any dangerous situation or harm to the author or others."
350,"@ModerateLabour1 @TheCentreLefty Agree re--Mordaunt.  Real supply teacher energy there.  She's normally a solid performer but wooden today.  Saying Truss wasn't hiding under a desk will be clipped to death.  Of course she may have done that on purpose.  Hunt, however did well.  He worries me much more.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because it’s political commentary and criticism. Phrases like “clipped to death” are metaphorical, and there’s no description of an actual danger, injury, or harmful event."
351,$ABT Everyone is Buying the Dip Right Now.Hoarding Shares--~ https--//t.co/XD5FQq93si,"No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the text describes a financial decision with no immediate harm or significant cost to the author of the tweet or others.","No, because it’s just stock market commentary about buying shares and doesn’t describe any event that could cause harm or impose costs on people."
352,shes so hot when she is mad god me kicking my legs and shit i do not wish anything but happiness for meow meow but if she is caused to do this again i wouldnt mind xx https--//t.co/BXPctUhbdB,"No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the tweet expresses attraction and excitement about someone being mad but does not describe any harmful event, threat, or situation that poses risk or cost to anyone."
353,"@JohnrockRosa @mjjacques9 @J03YKHAY02 @DEskowich @savyrecords You're the other one. Your constant barrage of ah hominem attacks toward anyone with an opinion that differs from your own exposes your weak arguments and poor character. Your opinions are part of a rapidly shrinking minority, you're desperation to hold on to relevance shows.","Yes, because the text describes a harm or other cost on the author of the tweet or on others.","No, because the text describes a disagreement or argument but no physical harm or significant cost to the author of the tweet or others.","No, because the text is a personal insult/argument and does not describe any dangerous situation, injury, or other concrete harm or cost to anyone."
354,"@jwyflm i think the most beautiful thing for us as muslims is that death isn’t the end for us, it’s a reunion, may Allah have mercy on her and raise her rank","No, because the text describes a belief or sentiment with no harm or significant cost to the author of the tweet or others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because it’s a condolence and religious reflection about death, not a description of an active danger or harmful event."
355,megaphone ONLINE COURSE megaphone Clinical diagnosis and management of dengue  small blue diamond This course is geared at helping healthcare workers in diagnosing and managing all aspects of dengue in order to avoid complications and fatalities.  Start today!  plus INFO--  https--//t.co/zzypLxum2G https--//t.co/qwyireR1tU,"Yes, because the text describes potential harm or costs associated with complications and fatalities related to dengue fever.","Yes, because the text describes a disease (dengue) which can impose harm or other costs on people. The post is beneficial as it promotes an educational course on handling dengue, however, the existence and spread of the disease itself is a hazard.","Yes, because it references dengue and the risk of complications and fatalities, which are harms to people."
356,@FRGRQueensgirl1 @RepDeanPhillips @MattPPea What exactly is the “dangerous” part of his statement? I ask this as someone who normally can’t stand Trump. I just don’t see anything antisemitic here.,"No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the text is a discussion about a statement and its potential implications, which does not impose harm or other costs on the author of the tweet or others.","No, because it’s a discussion about whether a statement is dangerous or antisemitic, not a description of an event or situation that poses harm or cost."
357,"@_TRXGGERHAPPY "" You don't know them. I know they would destroy me if they could. They'd snap me in half and destroy everything I ever stood for. Everything I do is to make sure nobody does that. ""  [ pulling him close by the jacket. She looks absolutely insane before letting him go. ]","Yes, because the text describes a potential harm or danger to the author of the tweet or to others.","Yes, because the text suggests potential harm or destruction towards the author of the tweet or others.","Yes, because it describes a threat of severe physical harm (“destroy me,” “snap me in half”) and depicts aggressive behavior, indicating a risk of violence."
358,"@ChristinaPushaw Dems swept in 2020 because of covid and the lockdown recession. Dems view covid as a political win, which is why they will not investigate the Wuhan Lab Leak and call it a conspiracy theory.   This should be an issue the republicans push. 20 million died globally due to the leak.","Yes, because the text describes a harm or other cost on the author of the tweet or on others.","Yes, because the text suggests that the global spread of Covid-19, potentially due to a lab leak, caused global harm and death.","Yes, because it describes harmful events—the COVID-19 pandemic and the lockdown recession—and mentions millions of deaths, which impose significant harm and costs on others."
359,"trophyWhiteList Winners--  @lyhyong,@Honeybadger0912,@DegenBonbon,@m0tuz,@rkflclsp,@SkSorif222,@pmhun1993,@kimsi011  For MINT Join Discord https--//t.co/GF25iQS61u","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because it’s a promotional message about whitelist winners and a Discord link, with no mention of danger, harm, or costs to anyone."
360,Geographers play an important role in addressing major challenges facing our world. Find out about where geography could take you next in this video from @Geog_UoD https--//t.co/xgWQhPOCvU,"No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the text is a promotional/educational message about geography and does not mention any danger, harm, or costly risk to anyone."
361,"For affection, deadly enemies of creativity. Learning and seeing https--//t.co/VEz3ms4pgW","No, because the text does not describe a harm or other cost on the author of the tweet or on others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because it’s a metaphorical/opinion statement about creativity and does not describe any concrete danger, injury, or cost to people."
362,"@CBSSunday Trump & the Trumplicans are hell bent on supplanting truth with a web of lies, hope with fear&hatred, our future by denying our history, diversity & inclusivity with the insidiousness of racism and freedom with CHAOS!  STOP THE TREACHERY & HATE! VOTE BLUE!  SAVE OUR DEMOCRACY!","Yes, because the text describes a harm or other cost on the author of the tweet or on others.","Yes, because the text describes potential harm or cost through the promotion of lies, fear, hatred, and chaos, which could disrupt peace and democracy.","No, because it’s a political opinion/rhetorical warning and does not describe a specific harmful event or immediate danger to people."
363,He gains the fall of a monarchy and the utter destruction of the 7 kingdoms https--//t.co/WnDcYOeYUR https--//t.co/ZuEGgYUnjo,"No, because the text describes a fictional scenario from a television show, which is not a real harm or significant cost to the author of the tweet or others.","Yes, because the text describes a harm or other cost on the author of the tweet or on others. The fall of a monarchy and the destruction of the 7 kingdoms implies danger, chaos, and potential harm to people living in those areas.","Yes, because it describes large-scale destructive events (the fall of a monarchy and the destruction of the Seven Kingdoms), which entail harm or costs to others."
364,"@mea_dark @josephxdiamond1 @cherry_team_gd Yes, suicide, he drank a bottle of vinegar (or something else). He had a difficult period in his life","Yes, because the text describes a harm or other cost on the author of the tweet or on others.","Yes, because the text describes a harm or other cost on the author of the tweet or on others. It talks about a suicide which is a severe harm.","Yes, because it describes suicide by ingesting a harmful substance, which is a clear instance of self-harm and danger to a person."
365,@Decorouz_ @FinPlanKaluAja1 You argued sanctions should have been done in 2014 of which it was but not at the current level. The whole charade is for the US to take Russia's share of the European energy market. I'm glad they did and the enablers (Europe) are feeling the consequences.,"Yes, because the text describes a harm or other cost on the author of the tweet or on others.","No, because the text describes a situation with potential economic implications but does not describe a direct harm or significant cost to the author of the tweet or others.","Yes, because it describes sanctions leading to negative consequences for Europe, implying economic/energy harms to others."
366,*Legal 150k* *Caution 150k* *Utilities 150k* *Agency 300k*,"No, because the text is listing financial numbers without indicating harm or costs to the author of the tweet or others.","No, because the text does not describe a situation that could impose harm or other costs on the author of the tweet or others. It appears to be a list of costs or fees, but it is not clear who or what these costs apply to.","No, because it’s just a list of fees/expenses and doesn’t describe any dangerous situation, threat, or harmful event."
367,@AmirAdnani It may be clean energy but our understanding and use of it create deadly waste we can't store or utilize for anything but weapons of mass destruction.,"Yes, because the text describes a potential harm or cost to the author of the tweet or others in relation to the storage and utilization of deadly waste for weapons of mass destruction.","Yes, because the text describes a potential harm or cost (deadly waste, weapons of mass destruction) associated with the use of certain types of energy.","Yes, because it describes the dangers of “deadly waste” from clean energy and its potential use in weapons of mass destruction, which pose harm to people and the environment."
368,"@ahmnasocial Hey, thank you for reaching out <3 I can get you access to our private creator network on discord where we put out a tonne of brand deals daily ,  You can enroll using the form https--//t.co/8PAJDbmJ1x  lmk if you need any help --)","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because it’s a benign invitation to join a creator network and doesn’t describe any danger, injury, or harmful event for anyone."
369,That’s fair ... all’s fair... we can go there ... take it there.... im aware ..,"No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the text does not describe any event, object, or condition that could impose harm or other costs on the author of the tweet or on others.","No, because the text is vague and does not describe any specific dangerous event, threat, or condition that could cause harm or costs to anyone."
370,$dawn is set and ready for a run up https--//t.co/JWsimXIzeN,"No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because it’s just discussing a cryptocurrency’s anticipated price movement and doesn’t mention any danger, harm, or costly threat to people."
371,"trophyWhiteList Winners--  @dobreziola,@kennyGee9378,@michael_ngotho,@AdesojiOlumide5,@kopkesever,@Junioroye6,@Temmy641,@fontes_V,@ummanoest  For MINT Join Discord https--//t.co/SvT958uDIU","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because it’s a promotional announcement about whitelist winners and a Discord link, and it doesn’t describe any danger, injury, or harmful event."
372,Chief Ministers of states --  SAVE COWS AND PROGENY FROM PAINFUL DEATH STOP POLYBAGS IN INDIA ! Sign the Petition! https--//t.co/1aNUlv3Hgp via @UKChange,"Yes, because the text describes harm or pain that could be caused to cows and their progeny as a result of the use of polybags.","Yes, because the text describes a harm or potential cost on the cows and their progeny due to the use of polybags. This could also indirectly impose harm on others due to environmental pollution caused by the said polybags.","Yes, because it describes a risk of harm—polybags causing painful deaths to cows and their offspring—indicating a hazard to others (animals)."
373,"trophyWhiteList Winners--  @7nP5xKA7Ua28Ub8,@hungchung12345,@myo109110,@nontasizm,@YLjps,@KibRT6bOWzA4jdd,@THREEBLUE2,@a9_c0m,@tkdkrk  For MINT Join Discord https--//t.co/xr272eEBeY","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because it’s a promotional message announcing whitelist winners and a Discord link for a mint, and it does not describe any danger, harm, or costs to anyone."
374,$QCOM Everyone is Buying the Dip Right Now.Hoarding Shares--~ https--//t.co/HPkDEjCSSQ,"No, because the text describes a financial decision made by others but does not impose harm or other costs on the author of the tweet or others.","No, because the text describes a financial trading tactic, which doesn't indicate any harm or significant cost on the author of the tweet or others.","No, because it’s a stock market comment about buying shares and doesn’t describe any danger, injury, or concrete harm to people."
375,"@NOELreports Note-- Unlike other videos of troop and equipment movements, this is heavily publicized, and video edited for media.  RU wants UA to dedicate troops in North. I doubt any attack is planned & trust UA and Western intel knows more so UA can respond appropriately given threat.","Yes, because the text describes a potential military threat that could harm or impose costs on the author of the tweet or on others.","Yes, because the text discusses potential military movements and threats, which could cause harm or other costs to individuals involved or potentially affected by these actions.","Yes, because it discusses potential military action and a “threat,” implying risk of harm or costs to others."
376,Assange;  Winning the war was not the objective. Afghanistan was merely a way of washing slush funds of money to avoid tax. Says Snowden https--//t.co/xA6ccNTkyA,"Yes, because the text describes a harm or other cost on the author of the tweet or on others.","No, because the text describes a situation that does not impose immediate harm or significant costs to the author of the tweet or others.","Yes, because it alleges large-scale financial crime (money laundering/tax evasion) tied to the Afghanistan war, implying economic harm and societal costs to the public."
377,"@boomer2121 Yep. All that happened because Trump lost the House, Senate & White House in literally record time, while crapping the bed on COVID, thus handing the Marxists the greatest weapon they could ever dream of to finally destroy the essence of USA.  Yes, please give me more of that! pouting face","No, because the text describes a political opinion and criticism, but does not suggest any harm or significant cost to the author of the tweet or others.","No, because the text describes a political situation and personal opinion, with no harm or significant cost to the author of the tweet or others.","Yes, because it describes harmful consequences (COVID mismanagement and actions that could “destroy the essence of the USA”), implying significant harm or costs to others."
378,$SLC Top Analyst Ratings and Price Targets for this week... https--//t.co/hlweMht3nJ,"No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because it’s simply sharing stock analyst ratings and price targets, which is routine financial information and does not describe an event posing harm or significant cost to people."
379,some of you have meltdowns if someone quote tweets you but think you have the right to judge how a person leaves a toxic relationship and a potentially dangerous environment... learn how to talk to a waiter first before speaking on her name,"Yes, because the text describes a harm or other cost on the author of the tweet or on others.","Yes, because the text refers to a toxic relationship and potentially dangerous environment, which could impose harm or costs to individuals involved.","Yes, because it references a toxic relationship and a potentially dangerous environment, indicating a risk of harm to someone."
380,"@KleidMatthew There do seem to be odd outbreaks of conflict in C2nd AD Britain though, which might have prompted caution among some. It is hard to know how worried peple would be!","No, because the text does not describe a harm or other cost on the author of the tweet or on others.","Yes, because the text mentions outbreaks of conflict which could potentially lead to harm or other costs for individuals involved or in the affected area.","Yes, because it mentions outbreaks of conflict, which imply violence and potential harm to people, prompting caution."
381,"@Lateral50084526 @gclady1738 @david8029 Honestly, that's the best way to approach it. I have severe ADHD with accompanying anxiety and insomnia. Sometimes I just flat out tell Hubs, ""babe, my brain has too much going on right now, I just won't be able to enjoy it, I'm sorry"". He gets it. I don't do that often though.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the text describes personal health issues, but these do not present actual harm or significant cost to the author of the tweet or others.","No, because it discusses personal experiences with ADHD, anxiety, and insomnia and how they communicate with a partner, without describing any immediate danger, harmful event, or threat to anyone."
382,Republicans voted against! But now claiming the money they got! Prescriptions they want to repeal. Our Democratic candidates needs some balls to go confront the Republicans on ALL these issues. And force them to state how they will change things! They have no positions on issues!,"Yes, because the text describes harm or other costs on the author of the tweet or on others.","No, because the text describes a political opinion with no harm or significant cost to the author of the tweet or others.","No, because the tweet is a political rant about parties’ actions and policy positions; it doesn’t describe a specific event or situation that poses physical danger or direct harm to people."
383,@Investingcom Europe has a major electricity crisis but people buy Tesla that runs more expensively than gas,"Yes, because the text describes a harm or other cost on the author of the tweet or on others.","Yes, because the text describes a potential economic cost related to the increased cost of using electric vehicles due to the electricity crisis.","Yes, because it describes a “major electricity crisis,” which poses harm/costs to the public, and suggests higher operating costs for EVs, implying financial risk."
384,@Zoe91472174 @ninaturner But what is this woman bringing this crap up again? That piece of s*** has been dead for 2 years. What is the point of bringing that up again? We should be talking about the black dude assaulting people with an ax in McDonald's being let out on bail to attack more people.,"Yes, because the text describes harm or other costs on the author of the tweet or on others.","Yes, because the text describes a scenario where a person is assaulting people with an ax, causing harm to others.","Yes, because it describes a violent assault with an axe and the risk of further attacks, which could cause harm to others."
385,calling the Kingdom a “so-called ally.” It then suffered a major blow after Biden alleged that Mohammed bin Salman could be behind the murder of Washington Post author and Saudi critic Jamal Khashoggi.,"Yes, because the text describes a harm or other cost on the author of the tweet or on others.","Yes, because the text implies potential harm or other costs on an individual, specifically Mohammed bin Salman, by associating him with a murder. This could lead to legal consequences for him.","Yes, because it references the murder of Jamal Khashoggi, which is a violent harm and thus a serious hazard."
386,@billgreen Neither. A trip to ER to treat my heart attack at seeing him finally testifying under oath!  I hope my treatment is successful. I’d love to see perjury counts added to his other legal issues. https--//t.co/FTuRBhGo2t,"Yes, because the text describes a harm or other cost on the author of the tweet or on others.","Yes, because the text describes a harm or other cost on the author of the tweet or on others. The author is describing a heart attack which is a harmful event.","Yes, because it describes a medical emergency (a heart attack) requiring a trip to the ER, which poses serious harm and cost."
387,"@philatrail So, whilst many are rightly pointing to where numbers have bounced right back, and in some cases then some, there are significant parts of the network where hybrid working has caused structural change.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the text describes a change in work patterns due to hybrid working, with no harm or significant cost to the author of the tweet or others.","No, because it discusses hybrid work causing structural changes in a network (e.g., usage patterns), not a danger or event that imposes harm or direct costs on people."
388,"What ni-ki said makes me worry for him so much. Negating your emotions, punishing yourself for not doing good enough are all toxic behaviors that on the long run might destroy your mental health. I know for experience. He is stronger than me, but I worry anyway. He is so young!","Yes, because the text describes a harm or other cost on the author of the tweet or others.","Yes, because the text describes a potential harm (negative impact on mental health) to the person being discussed in the tweet.","Yes, because it describes toxic behaviors (emotional suppression and self-punishment) that could cause long-term mental health harm, posing a risk to the person mentioned."
389,@LuluDeadly @SixFlags Did you ever find out what caused the lock down? When we finally left all we saw was the police giving someone a field sobriety test,"No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","Yes, because the text describes a lockdown event which could possibly imply a hazard situation that might impose harm or other costs on the author of the tweet, or on others.","Yes, because it references a lockdown (a potential safety threat or emergency) and mentions a field sobriety test, suggesting possible impaired driving—both imply risks or costs to people at the scene."
390,"@kazzacoey She met with Brady earlier for a ""scheduled meeting not crisis talks"". BS! You are right she is dead in the water. Hunt is currently running the govt.","Yes, because the text describes a harm or other cost on the author of the tweet or on others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because it’s political commentary using metaphor (“dead in the water”) and mentions meetings, not an actual event that poses harm or cost to people."
391,"@DorasIRL If the housing crisis persists and the increased inflows continue, direct provision  will continue  for the foreseeable future. There will be nowhere else for people to move on to. We have to be realistic. The housing crisis is not going to be solved for years.","No, because the text describes a situation that may have negative consequences such as lack of housing, but it is not an immediate hazard imposing harm or other costs on the author of the tweet or others.","Yes, because the text describes a harm or other cost on the author of the tweet or on others, specifically the ongoing housing crisis causing harmful living situations.","Yes, because it describes an ongoing risk from the housing crisis—people having nowhere to move and remaining in direct provision—which implies potential harm and costs (e.g., homelessness, inadequate living conditions) to others."
392,@aggyanubis Should shackle the cruel owners to the trap and work them to death.,"Yes, because the text describes a harm or other cost on the author of the tweet or on others.","Yes, because the text appears to suggest harm or injury to the owners mentioned.","Yes, because it advocates violent harm to others (“shackle… and work them to death”), which clearly describes a hazard to people."
393,Video on Homi Bhabha's death coming tomorrow!,"Yes, because the text describes a harm or other cost on the author of the tweet or on others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because it’s just an announcement about a video and does not describe any harmful event or risk to the author or others."
394,"I don't care what cancer causing chemicals people want to smear on their faces. I do have a problem with someone who acts like a fool and is stupid enough to go on the grass and heels and claiming that makes them a woman. That's degrading to all women, trans or born that way. https--//t.co/X2F8N4ux0f","Yes, because the text describes a harm or other cost on the author of the tweet or on others, specifically in terms of degrading transgender individuals.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because it’s an opinion/insult and does not describe a specific harmful event or imminent risk. The reference to “cancer causing chemicals” is generic and not about an actual hazard occurring to someone."
395,"@MCUSource this aint a rumor, it’s a fact for at least secret wars, anyone who dies between now & then including the people who died before are 100% coming back outside of people who don’t wanna come back or are passed away irl","Yes, because the text describes a harm or other cost on the author of the tweet or on others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because it discusses fictional character deaths and cast returns in the MCU, not a real-world threat or harmful event."
396,"@claireternal i just think pregnancy is sufficiently difficult and painful that it's not conducive to larping or kinks, like you do ""kinks"" for things like whipping or costumes, not growing and carrying and pushing a human being out of your body","Yes, because the text describes a harm or other cost on the author of the tweet or on others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because it’s a general opinion about pregnancy being difficult and painful, not a description of a specific hazardous event, threat, or imminent harm to the author or others."
397,"@USAinUAE @DubaiPoliceHQ Please head our voice here and help. hundreds of #Iranian families who have a spouse live in the USA, as a grean card holder or,have not been able to join them since 2017         Our spouse in iran are in #danger  .@USEmbassyTurkey @usembarmenia #iranianspousesbelongtogether","Yes, because the text describes a harm or other cost on the author of the tweet or on others.","Yes, because the text describes a potential harm or other cost to the individuals mentioned in the tweet who are in danger.","Yes, because it reports that spouses in Iran are “in danger,” indicating a threat to people’s safety."
398,"@Belette_2 @Warden201 I actually think it could be nice idea.   First phase--  Using Tawna to destabilize Rift Generator.  Second phase--  Using Cortex to making more damage to RG.   Third phase--   Using Dingodile to completely destroy RG.   Final phase--   As Coco, sing quantum masks, defeat N. Tropy's.","Yes, because the text describes a plan to cause harm or damage to others through destabilization, damage, and destruction.","Yes, because the text describes a plan to destabilize and destroy something, possibly making harm to others.","No, because it describes a fictional video game strategy involving characters like Tawna, Cortex, Dingodile, and Coco, not a real-world situation that could cause harm or costs."
399,"@free_bearz Omg, YES! This is just... I honestly didn't think they could do this well, certainly had my doubts about the changes they had made. Rarely have I been this pleased to be proven wrong.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because it expresses positive surprise and satisfaction about changes and does not mention any harm, danger, or costs to anyone."
400,North Point InsideOut ft. Seth Condrey Death Was Arrested (Live) https--//t.co/dIpF9zHj2p via @YouTube. Beautiful song,"No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because it’s just sharing and praising a song/video and does not describe any event that could cause harm or impose costs."
401,"Fighting erupted again in late August, shattering a 6 months humanitarian truce, after TPLF broke the agreement. On 4 /09 TPLF announced it had captured Kobo but in the past week rebels withdrew from the town amid fierce fighting w/ENDF & Amhara militias. #SayNoMore #DisarmTPLF","Yes, because the text describes a harm or other cost on the author of the tweet or on others.","Yes, because the text describes a situation of conflict and violence which implies potential harm or costs to people involved.","Yes, because it describes armed conflict—fighting, town capture, and clashes between armed groups—which poses risks of injury, death, and other harms to people."
402,A shocking attack on a local small business. Best wishes to Michael and his team. #protectyourbusiness #scamalert #nibusiness #FSB https--//t.co/By2JBtNgRB,"Yes, because the text describes a harm or other cost on the author of the tweet or on others.","Yes, because the text describes a harmful event (an attack) on a local small business which could lead to significant costs or damage.","Yes, because it reports an attack/scam targeting a small business, implying harm or financial loss to others."
403,"@Nick_BPSS Sure but they also passed on Pickens bc of alleged character concern bullshit and I am very much afraid they're gonna end up with no receiver talent ever bc plenty of WRs have ""character concerns"" aka are black and have a personality","Yes, because the text describes a harm or other cost on the author of the tweet or on others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because it’s a commentary on sports team decisions and perceived bias, not a situation posing physical danger or immediate harm/costs to people."
404,"Sweet nothings on my circumstances-- a little hope I hold onto for the future is that one day, when my finances are stable, I'll be able to subscribe to SO many people's Patreons. So. Many.   There's so much cool stuff small creators are doing! I wanna support as much I can","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because it expresses a hopeful intent to support creators in the future and mentions current finances, but it doesn’t describe any danger, harm, or hazardous event."
405,$HLT Everyone is Buying the Dip Right Now.Hoarding Shares--~ https--//t.co/XD5FQq93si,"No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the text describes a financial event with no direct harm or significant cost to the author of the tweet or others.","No, because it describes stock trading activity (“buying the dip” and “hoarding shares”) without indicating any harm, danger, or significant cost to the author or others."
406,$BRK.B Everyone is Buying the Dip Right Now.Hoarding Shares--~ https--//t.co/HPkDEjCSSQ,"No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because the text describes a financial situation or action but does not indicate any direct harm or significant cost to the author of the tweet or others.","No, because it’s just market commentary about buying a stock and doesn’t describe any danger, harm, or loss. While investing carries risk, the tweet doesn’t portray a hazardous event or threat."
407,"@cityeyes @swolecialism @BudrykZack If people looking to make money leave journalism, then what you're implying is that the only people who stay are those without financial concerns.","No, because the text is discussing a potential impact on the journalism industry and not describing a harm or other costs on the author of the tweet or on others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because it discusses financial motivations and implications in journalism, not a dangerous situation, threat, injury, or other concrete harm."
408,@prageru criminals rely on easy access to guns the harder it is to get guns the harder it is for criminals to get and use them.  Most gun deaths or not by criminals. Most gun deaths are suicides and accidents or a spouse killing a spouse,"No, because the text is discussing gun control and gun deaths, but it does not describe a specific hazard that could impose harm or other costs on the author of the tweet or on others.","Yes, because the text describes a potential harm or other cost on the author of the tweet or on others. In this case, it is mentioning the potential dangers of easy access to guns leading to crimes, suicides, accidents, or domestic violence.","Yes, because it discusses gun deaths, suicides, accidents, and domestic homicide—events that pose clear harm to people."
409,"@_z_m_r_ @DawsonSField @Gunabalance A. We are either closer to the bottom of the swamp than we know  or  B. we are free of the swamps control already and we just have to watch the rest play out. Indictments, arrests, trials and convictions.   The war was won before it started.   I pick B…","No, because the text describes a hypothetical scenario or opinion with no harm or significant cost to the author of the tweet or others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because it’s speculative political commentary about investigations and legal outcomes, not a description of a dangerous situation or potential harm to people or property."
410,"#HouseOfTheDragon is a feud between two toxic women , a forbidden love plot (incest & grooming by an uncle and niece) and all culminating in a foolish tit-for-tat game that leads to the mutual destruction of House Targaryen. #Hotd It’s a daytime soap opera with Dragons","No, because the text describes a fictional plot of a TV show and not a real event that could harm or impose costs on the author of the tweet or others.","No, because the text describes a television show plot, and therefore no real harm or significant cost to the author of the tweet or others is suggested.","No, because it discusses fictional events and themes in a TV show, not a real-world situation that poses harm or costs to the author or others."
411,"@DoubleAxeApes If this is truly the case, is this really an attack ? Could the miner potentially make more by raising their fee limit ?","No, because the text does not describe a harm or other cost on the author of the tweet or on others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because it’s a technical question about blockchain/miner behavior and whether something qualifies as an “attack,” without describing any concrete harmful event or risk to people or property."
412,$GLN Top Analyst Ratings and Price Targets for this week... https--//t.co/hlweMht3nJ,"No, because the text does not describe a harm or other cost on the author of the tweet or on others.","No, because the text describes a benign event with no harm or significant cost to the author of the tweet or others.","No, because it simply shares stock analyst ratings and price targets, which does not describe a harmful event or hazard."
413,"@Joyhenderson78 Oh my STARS. I'm so sorry; speaking as someone whose wheelhouse is ADHD Tx and Ax, this psych did you so dirty. Untreated ADHD ups depression and anxiety significantly, and when we begin to treat/support ADHD, comorbid stuff becomes easier to Tx!! Hoping your needs get met.","Yes, because the text describes potential harm or other costs related to untreated ADHD that could impact the author of the tweet or others.","Yes, because the text describes a harmful situation where the person is experiencing untreated ADHD, which is causing an increase in depression and anxiety. This is a potential health hazard for that person.","Yes, because it describes the harms of untreated ADHD—specifically increased depression and anxiety—and implies harm from a clinician’s mistreatment."
